id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
S;SUL;2022-05-11;11609.63333333
SE;SUDESTE;2022-05-11;40756.55641667
N;NORTE;2022-05-12;6339.01845833
NE;NORDESTE;2022-05-12;11502.79070833
S;SUL;2022-05-12;11362.10008301
SE;SUDESTE;2022-05-12;40403.78254167
N;NORTE;2022-05-13;
NE;NORDESTE;2022-05-13;
S;SUL;2022-05-13;
SE;SUDESTE;2022-05-13;
