id_subsistema;nom_subsistema;din_instante;val_cargaenergiahomwmed
SE;SUDESTE;2022-01-05 06:00:00;37128.336
N;NORTE;2022-01-05 07:00:00;5318.301
NE;NORDESTE;2022-01-05 07:00:00;10434.928
S;SUL;2022-01-05 07:00:00;12924.967
SE;SUDESTE;2022-01-05 07:00:00;39430.757
N;NORTE;2022-01-05 08:00:00;5528.08
NE;NORDESTE;2022-01-05 08:00:00;11036.579
S;SUL;2022-01-05 08:00:00;13884.991
SE;SUDESTE;2022-01-05 08:00:00;41418.033
N;NORTE;2022-01-05 09:00:00;5692.439
NE;NORDESTE;2022-01-05 09:00:00;11298.37099999
S;SUL;2022-01-05 09:00:00;14137.768
SE;SUDESTE;2022-01-05 09:00:00;42403.152
N;NORTE;2022-01-05 10:00:00;5754.83699999
NE;NORDESTE;2022-01-05 10:00:00;11464.925
S;SUL;2022-01-05 10:00:00;14452.199
SE;SUDESTE;2022-01-05 10:00:00;42857.954
N;NORTE;2022-01-05 11:00:00;5877.944
NE;NORDESTE;2022-01-05 11:00:00;11525.157
S;SUL;2022-01-05 11:00:00;14552.07599999
SE;SUDESTE;2022-01-05 11:00:00;42915.239
N;NORTE;2022-01-05 12:00:00;5790.34899999
NE;NORDESTE;2022-01-05 12:00:00;11351.885
S;SUL;2022-01-05 12:00:00;13812.61
SE;SUDESTE;2022-01-05 12:00:00;42924.0
N;NORTE;2022-01-05 13:00:00;6021.20799999
NE;NORDESTE;2022-01-05 13:00:00;11658.36199999
S;SUL;2022-01-05 13:00:00;14542.045
SE;SUDESTE;2022-01-05 13:00:00;44255.736
N;NORTE;2022-01-05 14:00:00;6242.364
NE;NORDESTE;2022-01-05 14:00:00;11944.19699999
S;SUL;2022-01-05 14:00:00;14967.00899999
SE;SUDESTE;2022-01-05 14:00:00;45511.36
N;NORTE;2022-01-05 15:00:00;6334.841
NE;NORDESTE;2022-01-05 15:00:00;11995.89299999
S;SUL;2022-01-05 15:00:00;14995.48499999
SE;SUDESTE;2022-01-05 15:00:00;46275.083
N;NORTE;2022-01-05 16:00:00;6264.50999999
NE;NORDESTE;2022-01-05 16:00:00;11961.54399999
